DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area,,,,,
S01008468,Broomhouse and Bankhead - 01,City of Edinburgh,566,330,2531,2,4,8,37,10%,55,3468,7%,22,3832,80,100,85,190,26%,0%,87,2914,65%,4.86,141,15%,6%,651,2.06,2.51,1.98,3.12,3.32,4.23,9.66,6.19,11.68,0%,4287,34,609,671,94,8,15%,1%,1762,5770.179367,769506.9657,,,,,
S01008469,Broomhouse and Bankhead - 02,City of Edinburgh,668,460,3868,3,6,12,56,11%,72,3206,4%,19,5037,80,132,0,53,13%,6%,92,4395,75%,5.61,126,0%,5%,2723,2.49,2.66,1.49,3.29,4.56,5.43,6.96,5.05,11.14,0%,4402,32,485,1071,89,3,15%,1%,1908,1680.650109,86358.61742,,,,,
S01008470,Broomhouse and Bankhead - 03,City of Edinburgh,891,580,1234,1,2,4,18,23%,201,1103,14%,78,1759,180,182,263,164,23%,0%,139,825,70%,4.93,165,9%,6%,846,2.84,2.95,1.19,3.47,4.38,5.34,9.59,2.96,13.06,0%,4371,27,307,2176,158,14,22%,2%,750.5,2306.074113,115266.2906,,,,,
S01008471,Broomhouse and Bankhead - 04,City of Edinburgh,866,559,792,1,2,3,12,26%,227,735,18%,98,990.5,195,208,376,258,23%,3%,147,499,76%,4.89,165,6%,5%,1194,2.94,2.57,1.74,3.1,3.62,4.68,10.33,6.23,11.4,0%,4105,47,538,876,190,10,22%,1%,777,2059.323905,112547.2161,,,,,
S01008472,Broomhouse and Bankhead - 05,City of Edinburgh,725,454,1893,2,3,6,28,21%,154,1274,12%,54,2151,130,79,77,100,15%,6%,90,3024,72%,4.98,143,8%,8%,1436,3.11,1.29,2.2,2.02,4.54,5.25,5.39,7.47,12.67,0%,5320,21,293,2298,163,4,23%,1%,771,2677.46473,226721.5208,,,,,
S01008473,Stenhouse and Saughton Mains - 01,City of Edinburgh,670,487,947,1,2,3,14,22%,146,1200,17%,82,1078.5,185,70,240,181,25%,10%,107,1020,66%,5,143,10%,3%,674,3.2,1.35,2.97,2,5.55,5.53,5.68,9.28,13.77,0%,4448,55,816,352,127,14,18%,2%,1168,2147.120948,92240.51241,,,,,
S01008474,Stenhouse and Saughton Mains - 02,City of Edinburgh,821,542,835,1,2,3,12,25%,202,893.5,18%,96,945,170,177,214,156,23%,6%,112,1140,76%,5,160,9%,1%,747,2.94,2.09,2.95,2.48,5.97,5.76,9.61,7.38,14.02,0%,3128,57,691,522,113,24,15%,3%,1565,1927.576361,139598.0911,,,,,
S01008475,Stenhouse and Saughton Mains - 03,City of Edinburgh,637,444,2062,2,3,6,30,17%,108,1899,10%,46,2582,125,135,128,121,19%,3%,115,2266,77%,5.47,145,2%,8%,2434,1.95,2.27,3.15,1.78,5.89,4.99,9.36,6.34,11.32,0%,4180,64,1002,205,114,3,19%,0%,1331,2473.81462,91988.15564,,,,,
S01008476,Stenhouse and Saughton Mains - 04,City of Edinburgh,772,533,2136,2,4,7,31,17%,131,1896,11%,60,2353,110,131,131,121,19%,4%,108,2561,79%,5.44,145,5%,7%,2232,2.33,2.83,3.1,2.5,6.38,5.34,10.5,6.38,12.44,0%,2963,33,433,1315,108,5,15%,1%,1850,1444.868466,93797.2565,,,,,
S01008477,Stenhouse and Saughton Mains - 05,City of Edinburgh,793,521,1698,2,3,5,25,17%,134,1911,15%,76,1520,140,151,522,93,24%,8%,115,1506,77%,4.71,150,0%,7%,1990,2.68,3.48,2.37,2.86,6.69,5.45,13.29,7.15,12.01,0%,2296,19,243,2835,116,5,15%,1%,1977,2228.270672,119099.6473,,,,,
